Id,alpha
271061,1
271062,2
271063,2
271064,2
271065,2
271066,2
271067,1
271068,2
271069,2
271070,2
271071,1
271072,2
271073,2
271074,2
271075,2
271076,2
271077,3
271078,4
271079,2
271080,1
271081,4
271082,2
271083,4
271084,3
271085,3
271086,1
271087,4
271088,3
271089,4
271090,2
271091,2
271092,4
271093,2
271094,4
271095,2
271096,4
271097,1
271098,2
271099,1
271100,3
271101,4
271102,2
271103,2
271104,2
271105,1
271106,1
271107,2
271108,1
271109,1
271110,4
271111,2
271112,1
271113,1
271114,1
271115,2
271116,2
271117,2
271118,1
271119,2
271120,1
271121,3
271122,2
271123,4
271124,3
271125,2
271126,2
271127,2
271128,2
271129,2
271130,1
271131,2
271132,2
271133,2
271134,4
271135,3
271136,2
271137,3
271138,2
271139,2
271140,1
271141,2
271142,3
271143,2
271144,2
271145,1
271146,4
271147,4
271148,3
271149,1
271150,4
271151,1
271152,2
271153,4
271154,2
271155,4
271156,2
271157,1
271158,1
271159,1
271160,2
271161,3
271162,2
271163,4
271164,1
271165,3
271166,1
271167,4
271168,2
271169,2
271170,1
271171,2
271172,4
271173,2
271174,2
271175,4
271176,2
271177,4
271178,2
271179,2
271180,4
271181,3
271182,4
271183,2
271184,1
271185,2
271186,4
271187,2
271188,3
271189,2
271190,2
271191,2
271192,1
271193,2
271194,3
271195,3
271196,3
271197,2
271198,2
271199,2
271200,1
271201,3
271202,1
271203,4
271204,3
271205,2
271206,3
271207,2
271208,2
271209,2
271210,2
271211,2
271212,4
271213,4
271214,2
271215,1
271216,4
271217,4
271218,2
271219,2
271220,2
271221,1
271222,2
271223,2
271224,2
271225,1
271226,4
271227,2
271228,4
271229,2
271230,3
271231,2
271232,1
271233,2
271234,2
271235,2
271236,4
271237,1
271238,2
271239,3
271240,2
271241,2
271242,4
271243,2
271244,2
271245,2
271246,4
271247,2
271248,2
271249,1
271250,2
271251,3
271252,2
271253,4
271254,2
271255,2
271256,1
271257,2
271258,2
271259,4
271260,4
271261,3
271262,2
271263,2
271264,2
271265,1
271266,1
271267,2
271268,1
271269,3
271270,2
271271,3
271272,2
271273,4
271274,3
271275,2
271276,3
271277,4
271278,2
271279,1
271280,4
271281,2
271282,3
271283,4
271284,3
271285,3
271286,2
271287,4
271288,2
271289,2
271290,1
271291,1
271292,4
271293,2
271294,2
271295,2
271296,2
271297,4
271298,2
271299,1
271300,4
271301,2
271302,1
271303,2
271304,2
271305,3
271306,3
271307,2
271308,4
271309,4
271310,4
271311,2
271312,2
271313,2
271314,2
271315,1
271316,2
271317,4
271318,3
271319,4
271320,1
271321,2
271322,2
271323,3
271324,2
271325,2
271326,2
271327,3
271328,1
271329,3
271330,1
271331,3
271332,4
271333,1
271334,2
271335,3
271336,3
271337,2
271338,4
271339,2
271340,1
271341,4
271342,2
271343,3
271344,2
271345,3
271346,3
271347,2
271348,4
271349,3
271350,2
271351,1
271352,3
271353,3
271354,2
271355,2
271356,2
271357,4
271358,1
271359,4
271360,3
271361,2
271362,2
271363,1
271364,3
271365,2
271366,2
271367,2
271368,1
271369,2
271370,1
271371,1
271372,2
271373,2
271374,2
271375,2
271376,4
271377,2
271378,2
271379,4
271380,2
271381,2
271382,2
271383,3
271384,2
271385,3
271386,1
271387,2
271388,2
271389,1
271390,2
271391,1
271392,3
271393,1
271394,4
271395,2
271396,1
271397,2
271398,2
271399,1
271400,2
271401,3
271402,2
271403,1
271404,1
271405,1
271406,2
271407,1
271408,2
271409,2
271410,4
271411,3
271412,2
271413,1
271414,1
271415,1
271416,2
271417,2
271418,2
271419,4
271420,2
271421,2
271422,2
271423,3
271424,4
271425,3
271426,2
271427,3
271428,4
271429,2
271430,2
271431,1
271432,2
271433,3
271434,1
271435,4
271436,2
271437,2
271438,3
271439,4
271440,4
271441,3
271442,3
271443,4
271444,2
271445,1
271446,2
271447,3
271448,2
271449,2
271450,1
271451,2
271452,1
271453,1
271454,2
271455,4
271456,2
271457,1
271458,4
271459,1
271460,3
271461,2
271462,2
271463,2
271464,2
271465,2
271466,2
271467,2
271468,2
271469,2
271470,2
271471,1
271472,1
271473,1
271474,2
271475,2
271476,2
271477,1
271478,2
271479,2
271480,2
271481,4
271482,2
271483,2
271484,2
271485,3
271486,2
271487,2
271488,2
271489,2
271490,4
271491,2
271492,3
271493,2
271494,2
271495,2
271496,2
271497,2
271498,2
271499,4
271500,3
271501,2
271502,2
271503,2
271504,4
271505,2
271506,1
271507,1
271508,1
271509,2
271510,3
271511,2
271512,2
271513,1
271514,4
271515,1
271516,3
271517,2
271518,3
271519,1
271520,1
271521,1
271522,2
271523,1
271524,1
271525,4
271526,2
271527,2
271528,2
271529,2
271530,2
271531,2
271532,2
271533,2
271534,2
271535,2
271536,2
271537,3
271538,1
271539,1
271540,2
271541,2
271542,2
271543,3
271544,1
271545,2
271546,3
271547,3
271548,4
271549,4
271550,4
271551,3
271552,2
271553,2
271554,4
271555,2
271556,2
271557,4
271558,4
271559,1
271560,1
271561,2
271562,1
271563,2
271564,4
271565,2
271566,1
271567,1
271568,2
271569,1
271570,3
271571,2
271572,2
271573,4
271574,2
271575,2
271576,3
271577,2
271578,2
271579,2
271580,1
271581,1
271582,2
271583,2
271584,2
271585,3
271586,1
271587,1
271588,1
271589,1
271590,2
271591,2
271592,2
271593,2
271594,1
271595,2
271596,2
271597,4
271598,4
271599,1
271600,2
271601,2
271602,2
271603,2
271604,4
271605,2
271606,2
271607,2
271608,2
271609,3
271610,2
271611,2
271612,1
271613,2
271614,2
271615,4
271616,4
271617,2
271618,4
271619,2
271620,4
271621,2
271622,1
271623,2
271624,2
271625,3
271626,3
271627,2
271628,2
271629,2
271630,2
271631,2
271632,2
271633,2
271634,2
271635,3
271636,3
271637,2
271638,3
271639,2
271640,3
271641,2
271642,2
271643,4
271644,3
271645,3
271646,1
271647,2
271648,3
271649,4
271650,4
271651,3
271652,1
271653,2
271654,4
271655,1
271656,2
271657,1
271658,1
271659,3
271660,3
271661,2
271662,4
271663,1
271664,3
271665,2
271666,1
271667,4
271668,2
271669,4
271670,2
271671,4
271672,2
271673,2
271674,3
271675,1
271676,1
271677,4
271678,2
271679,2
271680,2
271681,2
271682,1
271683,2
271684,2
271685,2
271686,3
271687,3
271688,1
271689,1
271690,2
271691,1
271692,4
271693,2
271694,1
271695,1
271696,3
271697,2
271698,2
271699,2
271700,3
271701,1
271702,3
271703,2
271704,4
271705,1
271706,4
271707,3
271708,2
271709,3
271710,2
271711,2
271712,1
271713,1
271714,3
271715,1
271716,3
271717,1
271718,2
271719,2
271720,2
271721,2
271722,2
271723,4
271724,4
271725,4
271726,1
271727,1
271728,2
271729,1
271730,2
271731,2
271732,2
271733,1
271734,2
271735,4
271736,1
271737,2
271738,2
271739,2
271740,2
271741,2
271742,1
271743,4
271744,1
271745,2
271746,4
271747,3
271748,2
271749,2
271750,2
271751,4
271752,1
271753,3
271754,2
271755,2
271756,4
271757,2
271758,4
271759,1
271760,4
271761,1
271762,2
271763,2
271764,4
271765,2
271766,2
271767,3
271768,2
271769,3
271770,2
271771,2
271772,4
271773,4
271774,2
271775,2
271776,2
271777,3
271778,3
271779,2
271780,2
271781,1
271782,2
271783,2
271784,4
271785,1
271786,1
271787,2
271788,4
271789,4
271790,2
271791,3
271792,3
271793,2
271794,2
271795,4
271796,4
271797,1
271798,2
271799,2
271800,4
271801,4
271802,3
271803,2
271804,2
271805,1
271806,2
271807,2
271808,3
271809,2
271810,2
271811,2
271812,4
271813,1
271814,4
271815,3
271816,2
271817,4
271818,4
271819,3
271820,2
271821,2
271822,1
271823,2
271824,2
271825,2
271826,1
271827,2
271828,2
271829,3
271830,3
271831,3
271832,3
271833,1
271834,3
271835,4
271836,1
271837,1
271838,1
271839,1
271840,3
271841,2
271842,2
271843,2
271844,2
271845,1
271846,2
271847,1
271848,2
271849,2
271850,1
271851,4
271852,2
271853,2
271854,1
271855,4
271856,4
271857,3
271858,2
271859,1
271860,2
271861,2
271862,3
271863,4
271864,2
271865,1
271866,2
271867,1
271868,3
271869,2
271870,2
271871,2
271872,4
271873,1
271874,1
271875,2
271876,2
271877,2
271878,1
271879,2
271880,2
271881,2
271882,1
271883,4
271884,2
271885,4
271886,4
271887,3
271888,2
271889,4
271890,2
271891,2
271892,2
271893,2
271894,2
271895,4
271896,2
271897,4
271898,3
271899,3
271900,4
271901,3
271902,2
271903,4
271904,2
271905,4
271906,2
271907,2
271908,3
271909,2
271910,1
271911,2
271912,1
271913,2
271914,2
271915,2
271916,2
271917,1
271918,2
271919,3
271920,1
271921,2
271922,2
271923,2
271924,4
271925,1
271926,2
271927,2
271928,4
271929,2
271930,4
271931,1
271932,3
271933,2
271934,2
271935,3
271936,2
271937,2
271938,4
271939,1
271940,3
271941,2
271942,2
271943,4
271944,2
271945,1
271946,1
271947,3
271948,1
271949,1
271950,2
271951,2
271952,3
271953,1
271954,1
271955,2
271956,2
271957,4
271958,2
271959,4
271960,4
271961,1
271962,3
271963,4
271964,2
271965,1
271966,2
271967,1
271968,4
271969,2
271970,2
271971,1
271972,2
271973,1
271974,2
271975,2
271976,4
271977,4
271978,2
271979,2
271980,2
271981,2
271982,3
271983,3
271984,2
271985,1
271986,2
271987,2
271988,2
271989,1
271990,1
271991,2
271992,2
271993,2
271994,2
271995,2
271996,2
271997,2
271998,2
271999,2
272000,1
272001,1
272002,3
272003,2
272004,3
272005,3
272006,2
272007,2
272008,2
272009,2
272010,4
272011,2
272012,4
272013,2
272014,1
272015,4
272016,2
272017,1
272018,2
272019,2
272020,3
272021,2
272022,2
272023,2
272024,1
272025,2
272026,4
272027,2
272028,3
272029,2
272030,2
272031,3
272032,3
272033,2
272034,1
272035,2
272036,2
272037,1
272038,2
272039,3
272040,3
272041,3
272042,2
272043,2
272044,2
272045,4
272046,3
272047,2
272048,1
272049,4
272050,2
272051,4
272052,1
272053,2
272054,2
272055,1
272056,1
272057,1
272058,4
272059,2
272060,2
272061,2
272062,2
272063,1
272064,3
272065,4
272066,1
272067,4
272068,2
272069,2
272070,2
272071,1
272072,2
272073,4
272074,2
272075,4
272076,2
272077,2
272078,3
272079,1
272080,2
272081,2
272082,2
272083,4
272084,3
272085,2
272086,2
272087,2
272088,1
272089,2
272090,2
272091,3
272092,3
272093,4
272094,2
272095,2
272096,1
272097,2
272098,4
272099,4
272100,3
272101,2
272102,3
272103,2
272104,1
272105,3
272106,1
272107,2
272108,2
272109,1
272110,1
272111,2
272112,2
272113,3
272114,4
272115,2
272116,2
272117,1
272118,4
272119,2
272120,3
272121,3
272122,1
272123,3
272124,2
272125,1
272126,2
272127,1
272128,3
272129,2
272130,1
272131,2
272132,1
272133,2
272134,2
272135,1
272136,2
272137,2
272138,3
272139,2
272140,2
272141,4
272142,2
272143,2
272144,4
272145,2
272146,2
272147,2
272148,1
272149,1
272150,1
272151,4
272152,3
272153,2
272154,4
272155,2
272156,4
272157,3
272158,1
272159,2
272160,1
272161,1
272162,2
272163,4
272164,2
272165,2
272166,4
272167,1
272168,2
272169,3
272170,4
272171,2
272172,1
272173,2
272174,2
272175,3
272176,2
272177,1
272178,2
272179,1
272180,1
272181,3
272182,2
272183,2
272184,2
272185,2
272186,4
272187,2
272188,2
272189,3
272190,2
272191,4
272192,4
272193,2
272194,2
272195,4
272196,2
272197,2
272198,2
272199,1
272200,2
272201,2
272202,3
272203,4
272204,3
272205,3
272206,2
272207,2
272208,2
272209,2
272210,4
272211,3
272212,1
272213,2
272214,3
272215,4
272216,4
272217,2
272218,1
272219,2
272220,2
272221,1
272222,2
272223,2
272224,3
272225,4
272226,2
272227,2
272228,2
272229,1
272230,2
272231,4
272232,2
272233,2
272234,1
272235,2
272236,2
272237,1
272238,4
272239,2
272240,2
272241,4
272242,4
272243,2
272244,2
272245,2
272246,3
272247,3
272248,4
272249,1
272250,4
272251,1
272252,2
272253,1
272254,4
272255,2
272256,2
272257,2
272258,3
272259,1
272260,2
272261,3
272262,3
272263,4
272264,2
272265,2
272266,2
272267,1
272268,3
272269,3
272270,3
272271,2
272272,4
272273,2
272274,2
272275,4
272276,2
272277,3
272278,1
272279,2
272280,2
272281,4
272282,1
272283,4
272284,4
272285,3
272286,2
272287,4
272288,1
272289,2
272290,2
272291,3
272292,1
272293,4
272294,2
272295,3
272296,3
272297,4
272298,2
272299,2
272300,2
272301,2
272302,2
272303,4
272304,2
272305,2
272306,1
272307,4
272308,2
272309,2
272310,4
272311,3
272312,3
272313,2
272314,2
272315,1
272316,3
272317,2
272318,4
272319,2
272320,2
272321,2
272322,4
272323,4
272324,2
272325,1
272326,2
272327,3
272328,2
272329,1
272330,2
272331,4
272332,2
272333,4
272334,1
272335,2
272336,4
272337,2
272338,2
272339,3
272340,2
272341,1
272342,1
272343,3
272344,1
272345,1
272346,1
272347,2
272348,2
272349,1
272350,4
272351,2
272352,4
272353,4
272354,2
272355,2
272356,2
272357,2
272358,4
272359,3
272360,3
272361,2
272362,1
272363,1
272364,4
272365,2
272366,4
272367,2
272368,2
272369,2
272370,1
272371,4
272372,4
272373,2
272374,1
272375,2
272376,2
272377,1
272378,2
272379,1
272380,2
272381,2
272382,2
272383,2
272384,1
272385,1
272386,4
272387,2
272388,2
272389,2
272390,3
272391,1
272392,2
272393,4
272394,1
272395,3
272396,3
272397,1
272398,3
272399,3
272400,1
272401,4
272402,2
272403,2
272404,4
272405,2
272406,2
272407,3
272408,1
272409,2
272410,4
272411,2
272412,1
272413,2
272414,3
272415,2
272416,4
272417,3
272418,4
272419,2
272420,3
272421,2
272422,1
272423,2
272424,4
272425,3
272426,3
272427,2
272428,3
272429,1
272430,4
272431,2
272432,1
272433,3
272434,3
272435,1
272436,2
272437,3
272438,1
272439,3
272440,2
272441,3
272442,2
272443,2
272444,4
272445,3
272446,2
272447,2
272448,1
272449,2
272450,2
272451,2
272452,1
272453,3
272454,2
272455,1
272456,4
272457,1
272458,2
272459,1
272460,4
272461,2
272462,4
272463,1
272464,2
272465,2
272466,2
272467,1
272468,2
272469,1
272470,1
272471,3
272472,1
272473,4
272474,4
272475,2
272476,2
272477,1
272478,1
272479,3
272480,2
272481,4
272482,2
272483,2
272484,4
272485,2
272486,3
272487,2
272488,2
272489,3
272490,4
272491,4
272492,2
272493,2
272494,2
272495,4
272496,3
272497,2
272498,3
272499,2
272500,2
272501,3
272502,2
272503,2
272504,1
272505,2
272506,1
272507,3
272508,4
272509,2
272510,1
272511,1
272512,2
272513,2
272514,3
272515,2
272516,2
272517,2
272518,2
272519,3
272520,3
272521,2
272522,2
272523,2
272524,2
272525,4
272526,1
272527,2
272528,4
272529,3
272530,2
272531,2
272532,1
272533,2
272534,4
272535,2
272536,1
272537,2
272538,3
272539,4
272540,4
272541,3
272542,4
272543,4
272544,4
272545,2
272546,1
272547,1
272548,2
272549,1
272550,4
272551,1
272552,2
272553,2
272554,1
272555,2
272556,1
272557,2
272558,2
272559,3
272560,2
272561,2
272562,2
272563,1
272564,2
272565,3
272566,1
272567,4
272568,4
272569,1
272570,2
272571,2
272572,2
272573,3
272574,1
272575,2
272576,4
272577,2
272578,3
272579,2
272580,4
272581,2
272582,4
272583,2
272584,3
272585,1
272586,2
272587,1
272588,3
272589,2
272590,3
272591,1
272592,2
272593,2
272594,3
272595,2
272596,2
272597,2
272598,3
272599,2
272600,3
272601,2
272602,2
272603,2
272604,1
272605,4
272606,1
272607,2
272608,2
272609,2
272610,4
272611,4
272612,1
272613,4
272614,3
272615,2
272616,2
272617,2
272618,1
272619,4
272620,2
272621,2
272622,3
272623,2
272624,4
272625,3
272626,2
272627,2
272628,2
272629,2
272630,2
272631,4
272632,2
272633,4
272634,1
272635,1
272636,2
272637,2
272638,1
272639,2
272640,2
272641,2
272642,4
272643,4
272644,3
272645,2
272646,3
272647,3
272648,2
272649,2
272650,3
272651,2
272652,2
272653,2
272654,1
272655,2
272656,3
272657,1
272658,2
272659,4
272660,2
272661,1
272662,2
272663,2
272664,2
272665,2
272666,3
272667,2
272668,2
272669,4
272670,2
272671,4
272672,2
272673,2
272674,4
272675,1
272676,2
272677,1
272678,1
272679,3
272680,2
272681,2
272682,2
272683,3
272684,2
272685,1
272686,2
272687,2
272688,2
272689,3
272690,2
272691,2
272692,2
272693,3
272694,3
272695,3
272696,4
272697,3
272698,1
272699,1
272700,2
272701,2
272702,2
272703,2
272704,2
272705,2
272706,4
272707,4
272708,3
272709,2
272710,2
272711,2
272712,2
272713,2
272714,1
272715,2
272716,2
272717,3
272718,1
272719,2
272720,3
272721,2
272722,2
272723,2
272724,2
272725,1
272726,3
272727,3
272728,3
272729,1
272730,1
272731,1
272732,3
272733,2
272734,1
272735,1
272736,4
272737,2
272738,3
272739,4
272740,2
272741,1
272742,2
272743,1
272744,2
272745,2
272746,2
272747,2
272748,2
272749,2
272750,3
272751,3
272752,1
272753,2
272754,1
272755,2
272756,2
272757,2
272758,2
272759,4
272760,2
272761,2
272762,2
272763,4
272764,2
272765,2
272766,1
272767,2
272768,1
272769,1
272770,2
272771,4
272772,2
272773,2
272774,2
272775,3
272776,2
272777,2
272778,3
272779,1
272780,2
272781,3
272782,2
272783,2
272784,1
272785,2
272786,2
272787,3
272788,2
272789,2
272790,1
272791,2
272792,2
272793,1
272794,2
272795,2
272796,2
272797,2
272798,1
272799,4
272800,1
272801,1
272802,3
272803,4
